# ['largestLoop.py', '../DATA/L8/']
1.00000   0.03997   0.00010
0.50000   0.04560   0.00014
0.25000   0.06163   0.00018
0.18000   0.08602   0.00023
0.14000   0.18654   0.00028
0.13000   0.42989   0.00035
0.12800   0.53343   0.00043
0.12500   0.69335   0.00053
0.12000   0.85568   0.00065
0.11500   0.92605   0.00079
0.11100   0.95437   0.00096
0.10500   0.97709   0.00114
0.10000   0.98698   0.00135
0.09100   0.99504   0.00153
0.07700   0.99918   0.00166
0.06700   0.99985   0.00173
0.05000   1.00000   0.00173
0.02000   1.00000   0.00164
0.01000   1.00000   0.00149
