# ['largestLoop.py', '../DATA/L18/']
1.00000    0.01190    0.00010
0.50000    0.01355    0.00014
0.25000    0.01799    0.00018
0.18000    0.02528    0.00023
0.14000    0.05437    0.00028
0.13000    0.19084    0.00035
0.12800    0.42789    0.00043
0.12500    0.67987    0.00053
0.12000    0.83657    0.00065
0.11500    0.90977    0.00079
0.11100    0.94232    0.00096
0.10500    0.97049    0.00114
0.10000    0.98392    0.00135
0.09100    0.99442    0.00153
0.07700    0.99905    0.00166
0.06700    0.99981    0.00173
0.05000    0.99999    0.00173
0.02000    1.00000    0.00164
0.01000    1.00000    0.00149
