# ['largestLoop.py', '../DATA/L12/']
1.00000    0.02184   0.00010
0.50000    0.02486   0.00014
0.25000    0.03243   0.00018
0.18000    0.04594   0.00023
0.14000    0.09950   0.00028
0.13000    0.29496   0.00035
0.12800    0.45856   0.00043
0.12500    0.68426   0.00053
0.12000    0.84082   0.00065
0.11500    0.91379   0.00079
0.11100    0.94565   0.00096
0.10500    0.97312   0.00114
0.10000    0.98532   0.00135
0.09100    0.99463   0.00153
0.07700    0.99911   0.00166
0.06700    0.99982   0.00173
0.05000    0.99999   0.00173
0.02000    1.00000   0.00164
0.01000    1.00000   0.00149
