# ['largestLoop.py', '../DATA/L6/']
1.00000    0.06216   0.00010
0.50000    0.06999   0.00014
0.25000    0.09398   0.00018
0.18000    0.13155   0.00023
0.14000    0.28974   0.00028
0.13000    0.53734   0.00035
0.12800    0.61828   0.00043
0.12500    0.73815   0.00053
0.12000    0.87271   0.00065
0.11500    0.93661   0.00079
0.11100    0.95965   0.00096
0.10500    0.97866   0.00114
0.10000    0.98745   0.00135
0.09100    0.99520   0.00153
0.07700    0.99915   0.00166
0.06700    0.99984   0.00173
0.05000    0.99999   0.00173
0.02000    1.00000   0.00164
0.01000    1.00000   0.00149
